Player,Tm,Cmp,Att,Cmp%,Yds,TD,Rate,Int
Tom Brady,TAM,485,719,67.5,5316,43,102.1,12
Marcus Mariota,ATL,228,331,68.9,2528,11,92.3,8
Baker Mayfield,CAR,253,418,60.5,3010,17,83.1,13
Jameis Winston,NOR,380,626,60.7,5109,33,84.3,30
