Player,Tm,Cmp,Att,Cmp%,Yds,TD,Rate,Int
Trey Lance,SFO,41,71,57.7,603,5,97.3,2
Kyler Murray,ARI,333,481,69.2,3787,24,100.6,10
Geno Smith,SEA,65,95,68.4,702,5,103,1
Matthew Stafford,LAR,404,601,67.2,4886,41,102.9,17
,,,,,,,,
