Player,Tm,Cmp,Att,Cmp%,Yds,TD,Rate,Int
Kirk Cousins,MIN,372,561,66.3,4221,33,103.1,7
Justin Fields,CHI,159,270,58.9,1870,7,73.2,10
Jared Goff,DET,332,494,67.2,3245,19,91.5,8
Aaron Rodgers,GNB,366,531,68.9,4115,37,111.9,4
