Player,Tm,Cmp,Att,Cmp%,Yds,TD,Rate,Int
Trevor Lawrence,JAX,359,602,59.6,3641,12,71.9,17
Davis Mills,HOU,263,394,66.8,2664,16,88.8,10
Matt Ryan,IND,375,560,67,3968,20,90.4,12
Ryan Tannehill,TEN,357,531,67.2,3734,21,89.6,14
