Player,Tm,Cmp,Att,Cmp%,Yds,TD,Rate,Int
Jalen Hurts,PHI,265,432,61.3,3144,16,87.2,9
Daniel Jones,NYG,232,361,64.3,2428,10,84.8,7
Dak Prescott,DAL,410,596,68.8,4449,37,104.2,10
Carson Wentz,WAS,322,516,62.4,3563,27,94.6,7
